name,description
"The Glenlivet Cellar Collection, 1969 vintage, 50.8%","It’s great that Glenlivet releases whiskies under the 'Cellar Collection' label. It really shows the true potential of Glenlivet. This bottling is classic ultra-matured Glenlivet, and rivals the 1959 vintage Cellar Collection as the best one ever. An incredibly complex whisky, with notes of vanilla, ripe barley, coconut, and caramel. All this is accentuated by glazed orange, hazelnut, and a potpourri of dried spices. Not the least bit tired for such an aged whisky. (Only 800 bottles for the U.S.)"
"Macallan 1976 Vintage, 29 year old, cask #11354, 45.4%","Classic sherry cask-aged Macallan. Antique amber with hints of ruby. Thickly textured, complex, and quite deep, with notes of toffee, ripe pit fruit, raisin, apple pie, dried spice (cinnamon, clove, ginger, and mint), and a wisp of smoke. An exceptional, multi-faceted Macallan! 
"
"The Last Drop (distilled at Lochside) 1972 (cask 346), 44%","A remarkable beauty from the Angus town of Montrose. The elegant nose shows a dram at peace with itself; golden syrup, hay bales, ground hazelnut, liquid honey, French baguette, High Mountain oolong, and rubbed spice blends. Refreshing palate of honey, toffee, citrus, honeycomb wax, and a profusion of sweet vanilla. Rich, sweet oak and deep pepper notes to finish. Truly a sublime and venerable grain. (106 bottles) £2,400"
"Compass Box Flaming Heart (10th Anniversary bottling), 48.9%","A marriage of three different single malts, aged in American and French oak. This whisky shows the advantage of marrying whiskies from more than one distillery (when properly done). Vibrant, with a complex array of fruit (orchard fruit, sultana), sweetness (light toffee, marzipan, honeyed malt), spice (creamy vanilla, mocha, warming pepper), smoke (tar, smoked olive, coal), and lesser notes of toasted almond and beach pebbles. More smoke and tar on the palate than the nose, yet always in balance. Well played! (Editor's Choice)"
"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%","As you’d expect, solid peat is the first thing out of the glass, but this isn’t just a peat beast. Underneath are honey, dried fruit, and malt. The palate is all about balance, with honeyed malt, raisin, and oak spice all complementing smoky peat. A lush mouthfeel makes you forget it’s cask strength. A pure love note in a glass from Compass Box to Park Avenue Liquor.  (Park Avenue Liquor only)"
"Johnnie Walker Blue Anniversary, 60%","Formulated to celebrate the 200th anniversary of Johnnie Walker. This is a fabulous whisky for anyone who can spring for the bottle. It is deep, dark, and quite powerful with a hefty malt foundation and sweeter notes of toffee and vanilla combined with resinous oak, complex fruit (both bright citrus notes and darker pit fruits), crisp mint, tobacco, polished leather, and heavy peat smoke. A tour de force of a blended scotch-as big as many single malts reviewed here. 
"
"Chivas, 18 year old, 40%","An essay in balance on both the aroma and palate. Silky layers of delicate sweetness (honeyed vanilla, caramel, light toffee) permeate through clean, delicate fruit (citrus, peach, currant), and subtle, complex dried spice. Clean finish, with a hint of dark chocolate. A very versatile, very drinkable blend which suits most moods and occasions. Indeed, a benchmark blended scotch. 
"
"Ardbeg, 1974 Vintage, Cask #3145, 49.9%","Cask #3145 is the lighter in color, and the sweet notes that balance the smoke and seaweed are not as deeply caramelized as Cask #3542. I’m tasting hints of shortbread and caramel, which show through the peat smoke, tobacco, toasted nuts, firm spice notes (cinnamon, clove, and mint), and lingering brine. Very complex. 
Price listed includes the entire Double Barrel 1974 Vintage set."
"Ardbeg Uigeadail, 54.2%","With the Ardbeg 17 year old off the market, it’s nice to see a new Ardbeg in the line-up. Uigeadail costs about the same as the Ardbeg 17 did but, with Uigeadail, you’re getting a much more interesting whisky. Uigeadail consists of a marriage of younger whisky (from 1990 and 1993) with much older whisky matured in sherry casks. The marriage works exceptionally well, with the younger whiskies providing the classic Ardbeg intensity many of us have come to expect, while the older whiskies contribute depth, maturity, and complexity. And bottling the whisky at cask-strength without chill-filtration ensures that none of the flavors are stripped out. This is an incredibly complex Islay whisky, with its bonfire smoke, brine, and peppered olive notes balanced by a taming sweetness of vanilla, marshmallow, and toffee. Interwoven notes of candied fruit and sugared almonds round out the palate. Incredibly long finish. 
"
"Balvenie 1973 43 year old, 46.6%","This expression was matured in a European oak oloroso sherry butt. Overtly sherried, with figs, sultanas, cinnamon, and old warm leather on the nose. Finally, fragrant, with milk chocolate-coated Turkish delight. The Turkish delight carries over to the palate, before the chocolate darkens to plain, with raisins, smoked ham, and cloves in the long finish. Remarkably, almost no tannic oak. Textbook stuff."
"Bowmore 50 year old (distilled 1961), 40.7%","The whisky is sensational, a glorious mix of ginseng syrup, baked banana, semi-dried tropical fruits, and an exotic smoked edge. Without the last, you could believe it was a delicate Cognac. In time, there’s peppermint and guava syrup. A sip is all you need to reveal perfect, thrilling harmony: light nuttiness, pollen, subtle fruits, gentle smoke, and light fungal touches. It’s stunning, but it’s £16,000! Whisky this great, even in limited quantities, should be fairly priced. Points off. £16,000"
"Brora, 30 year old, 55.7%","Astonishingly fresh and clean for 30 years in oak, and with incredible depth. Slight oily texture. Appetizing brine, with honeyed vanilla, mustard seed, green olive, Seville orange, and lemon zest. Underlying smoke, damp peat, and seaweed. Put simply, Brora at its finest. 
"
"Lombard 'Jewels of Scotland' (distilled at Brora), 1982 vintage, 50%","Bottled in 2004, but just recently put in circulation here in the U.S. (Very strange.) It’s worth the wait. It’s fresh (even at 22 years old), appetizing, spicy, and briny. There’s a sweet foundation of vanilla wafer and caramel, with a slightly oily texture. White pepper, seaweed, mustard seed, lime, gherkin, and teasing gin botanicals add complexity. Spicy, salty finish. A vibrant, dynamic expression of the shuttered original Clynelish distillery. Quite stunning, actually. Find yourself a bottle before they’re gone!"
"Brora, 30 year old (2009 Release), 53.2%","This whisky has all the positive aspects of a very mature whisky (depth, complexity) without all the negative ones (excessive oak, one-dimensional). Very clean, but oily in texture, with honeyed vanilla, caramel, citrus (tangerine, orange, lemon), nectarine, olive brine, black pepper, ginger, cut grass, mustard seed, and just the hint of teasing smoke. Briny, spicy finish. Wonderful!"
"Brora 2010, 54.3%","Though Brora has acquired cult status, it has to be said that for a few years these Special Release Broras went through an off-putting butyric phase, which might well have put off newbies to this legendary closed site, who must have wondered what all the fuss was about.
One nose of the 2010 SR shows that these days have been consigned to the past. This is classy from the word go. Gold in color; the nose manages to be both overtly waxy — I’m reminded of waxed paper — and fragrant. Behind that is coal smoke, rather than the heavy peatiness of earlier vintages (Brora’s peating levels varied in its last years). In other words, this is robust and powerful, with an evocative aroma that speaks of old sea chests, the seashore, and vellum. Hugely concentrated, with massed fruits — quince especially — following behind. This is amplified with a drop or two of water. 
The palate is unctuous and heavy. Tectonic plates move more quickly than this does in the mouth. When it does, the oily/waxy textures and flavors move slowly — camphor, peach, membrillo, hints of citrus, and toward the finish a growing brininess (akin to olives) and a hint of smoke. Elemental and one of the best Broras for years. [not available in the U.S.]£280  "
"Brora 35 year old, 49.9%","Maturation of this 1978 distillate has taken place in European oak and refill American oak casks. Fresh and fruity on the early, herbal nose; a hint of wax, plus brine, developing walnut fudge, and an underlying wisp of smoke. Finally, wood resin. The palate is very fruity, with mixed spices, then plain chocolate, damp undergrowth, gentle peat smoke, and finally coal. Mildly medicinal. Ashy peat and aniseed linger in the long, slowly drying finish. Brora at its very best. (2,944 bottles) Editor's Choice"
"Glenfarclas 1968 Vintage, 43% ABV","It has been quite a while since we’ve seen a new Glenfarclas here in the U.S. but, after tasting this whisky, it was worth the wait. Glenfarclas is a rich, stylish whisky that ages very well, and this 1968 vintage proves it. It is very deep and mature, with complex fruit (sultana, marmalade) layered by sweetness (honey, caramel, and toffee). All those years in oak contribute another dimension to the whisky, providing a dry, oaky spiciness, polished leather, and a hint of tobacco-especially on the finish. Never does the whisky taste tired or excessively woody. It expresses all that is good about an older whisky, without any of the down side. I’m told that most of the 1,400 bottles imported to the U.S. went to the Chicago area. It’s worth taking the extra time to track down a bottle. 
"
"Glenfarclas, 40 year old, 46%","Glenfarclas has a proven track record for aging very well. I’ve enjoyed some amazing 25 and 30 year old expressions, in addition to some older vintage offerings. Does this new 40 year old follow suit? Absolutely! It’s complex and well-rounded, with great depth and no excessive oak. Lush, candied citrus (especially orange), old pot still rum, maple syrup, fig, roasted nuts, and polished leather, with hints of mocha, candied ginger, and tobacco. A bit oily in texture (which I find soothing) with good tannic grip on the finish. A classic, well-matured Glenfarclas — and a very good value for its age. (Editor's Choice)"
"Glenglassaugh, 40 year old, 44.6%","An excellent example of an ultra-mature, sherried whisky done the right way. Much darker and more decadent than the other two releases here. Silky texture. Rummy, jammy fruit, toasted walnut, leather, spice (cinnamon, clove), tobacco, and dark chocolate, with a foundation of juicy oak. Tasting this whisky, you know it’s old, but you also know it’s very good. "
"The Glenlivet Cellar Collection, 1973 vintage, 49%","A marriage of three casks, one of them an ex-sherry butt. The sherry is certainly evident, and this is more sherried than many of the Cellar Collection whiskies to date. Opulent and seductive, with prominent fruit (glazed spiced oranges, ripe peach, and hints of pineapple and coconut), caramel-coated nuts, and vanilla custard. A peppering of ginger and cinnamon throughout. Coating, soothing finish. Polished and seamless, with no trace of excessive oak. One of the richest -- and finest -- Cellar Collections to date. Anyone willing and able to cough up the bucks for this whisky will be richly rewarded. (Only 240 bottles available in the U.S., beginning June 2010.)"
"Highland Park, Cask #13308, 1973 vintage, 33 year old, 54.4%","Dark and decadent. Notes of old pot still rum, roasted nuts, chocolate fudge, burnished leather, Dundee cake, tobacco, and a hint of damp peat. When I drink this, I feel like I’m sitting in the study of a stately Scottish mansion contemplating a fine, aged Cuban cigar. Royalty in a glass. (Bottled for Binny’s Beverage Depot) 
"
"Laphroaig, 25 year old (2008 Edition), 51.2%","The flavors evolve on the nose and palate, with peat kiln smoke, fresh asphalt, damp earth warehouses, morning-after campfire ash, and old boat dock contrasting nicely with toffee apple, crème caramel, delicate raspberry preserve, and dried citrus. Long, smoky, spicy, briny, seaweed, dirty martini-tinged finish. This whisky comes from a combination of both sherry and bourbon casks, and the marriage works. I also like that it retains some of its youthful brashness, while showing the depth that maturity affords a whisky. A delicious, well-balanced, old-fashioned Laphroaig.(Reviewing this whisky gave me an excuse to open a “fresh” bottle of its predecessor, the 30 year old, and here are my thoughts. The 30 year old is softer, mellower, drier, and more debonair. The 25 year old is bolder, more youthful, more dynamic, richer, and sweeter -- bottling at cask strength really helps here. Both whiskies are very nice, but quite different in personality.)"
"The Macallan Estate Reserve, 45.7%","Amber color. Richly textured (great mouth feel), with vanilla fudge, nougat, ripe citrus, and ginger cake leading to a complex, spicy finish. Great depth on this one. Well-polished. My pick of the lot."
"Dun Bheagan (distilled at Springbank), Cask No. 1704, 35 year old, 1970 vintage, 50.5%","Quite fresh and appetizing for a 35 year old whisky, but not too surprising for a Springbank. Notes of creamy vanilla, burnt caramel, coconut custard, brine, and a hint of anise. Complex, vibrant, and well-balanced. Reminds me why I love those old Springers. Devotees will not be disappointed. A stunning whisky! (Exclusive to Astor Wines and Spirits.) 
"
"Jewels of Scotland (distilled at Springbank), 1965 vintage, 46%","Bottled in 2001, but still in circulation and (fortunately) just finding its way to me. These Springers from the ‘60s are getting rarer and quite expensive. This is a great example of why they are so coveted -- clean and well matured, with no sign of excessive oak. Elegant sherried fruit dovetails nicely with polished oak and a steady stream of dried spices. Look for citrus, nectarine, red licorice, coconut oil, ripe banana, and vanilla custard with warming cinnamon and brine. Warm, spicy finish. Very polished!"
"The Last Drop, 1960 vintage, 48 year old, 52%","A 12 year old blended whisky was created in 1972 consisting of 70 different malt whiskies and 12 grain whiskies.  The blend was then placed in three sherry casks, where it was matured for the next 36 years (highly irregular, to say the least).  The quality of the sherry casks is quite evident, as is the whisky's age.  There's substantial malt content here, too.  These three factors, along with the wide range of malt and grain whiskies, combine to create one of the finest blended Scotch whiskies I have ever tasted.  It's dark, mysterious, and enormously complex, with notes of molasses, fig cake, dried fruit, tobacco, dark chocolate, old pot still rum, and polished leather, finishing with lingering cinnamon and mint.  There's no sign of this whisky getting tired at all.  I am pleased they bottled it at natural strength and didn't water it down to 40% or 43% abv, which could have ruined it.
(Allocation information:  There's a total of 1.347 bottles, of which only 350 are being imported to the U.S.  They are available exclusively at Binny's Beverage Depot (Chicago), Park Avenue Liquors (New York), and Wally's (Los Angeles))."
"The Last Drop 50 year old, 50.9%","Would you have gambled The Last Drop 1960 liquid in new sherry wood for four more years? The indulgent nose proffers maple syrup, buckwheat honey, roasted spices, blue grapes, pomegranate, raspberry compote, cilantro, pandan leaf, and beefsteak juices soaking into mushroom gills. The complex, lustrous mouthfeel is replete with a sheen of rich maltiness, molasses lashed by sherry before a dry, resinous finish. Water brings an oily nuttiness, then further drops produce a silky, clingy texture. Glorious. Miraculous. Victorious. (388 bottles only)"
"Duncan Taylor (distilled at Invergordon), 40 year old, 1965 vintage, 49.7%","A really stunning grain whisky. So rich for a grain whisky, with no excessive oak. Lipsmacking notes of vanilla cream, coconut custard, ripe banana, sticky toffee pudding, rhum agricole, and delicate honeycomb. The flavors are clean, deep, nicely integrated and complex. Single malt drinkers take note: this whisky will change your opinion of grain whisky forever! (A Park Avenue Liquor exclusive.) 
"
"Compass Box The Peat Monster, 46%","The formula for this whisky has changed slightly since its inception -- and I think for the better. They've added some Laphroaig into the mix of Caol Ila and Ardmore. This whisky demonstrates the layered complexity that can be achieved by marrying whisky from different distilleries and different regions. I particularly enjoy the rich maltiness and oily texture that provide firm bedding and flavor contrast to the classic Islay notes: tar, boat docks, brine, smoked olive, seaweed, and kiln ash. More subtle cracked peppercorn, mustard seed, and citrus fruit add complexity. Long, warming finish. Amazing how a small change in composition can significantly benefit the overall flavor profile of a whisky."
"Compass Box Phenomenology, 46%","The nose has honey, caramelized apples, Pixy Stix, pears in cream, faint pepper, ground coriander, and salty driftwood. It’s teeth-coating with golden syrup sugariness, the silky texture meting out pears, apples, sweet barley notes, and crunchy spices, before a vanilla phase gives way to black pepper, licorice, and smoke. Mouth-numbing finish of long-active spices over vanilla. (7,908 bottles)"
"Johnnie Walker The Casks Edition, 55.8%","You don't mess with the Johnnie Walker brand name casually, so we expect greatness, and boy, do we get it here. This has a dusty, smoky nose with dried apricot and grape, and the whisky is gossamer-soft on the palate, with sweet pear and honey evolving on top of an oaky rich heart before a tidal wave of pepper and peat, and a delightful spice smoke and oak conclusion. Magnificent. "
"The John Walker, 40%","The pinnacle of the current Johnnie Walker range, this is a rare, inimitable blend of just nine whiskies. It exudes the aromas of ripe bananitos, whole mango, satsuma, vanilla seeds, barley awns, butter biscuits, and crystallized pineapple. The supple grain sustains indulgent, characterful malts creating a weighty, smooth mouthfeel. I’m smitten by the vanilla creaminess, burgeoning deep fruit layers, how it swells with a satisfying snuffbox smokiness. A beautifully styled blend delivering a captivating, sensuous experience. (330 bottles only)"
"Chivas Regal 18 year old Ultimate Cask Collection First Fill French Oak Finish, 48%","An auld alliance renewed, this gorgeous whisky packs spicy aromas of peppercorn, star anise, and cardamom seeds, mingling with toffee squares, plum jam, dunnage earth, and dried sprigs of heather. Rich fruitcake, jellied fruit, and bramble, then spices course through the mouth: chili heat, black pepper, and raw ginger. Final phase has chocolate praline, growing milky, nutty, and soothing. Exceptional lengthy finish with reignited spices. Chivas 18 goes electric. (Travel Retail exclusive)"
"Aberfeldy 14 year old Single Cask, 58.1%","Single cask Aberfeldy bottlings are very few and far between, and this is a stunner! After hogshead maturation the whisky ultimately underwent a period of finishing in an ex-sherry cask prior to bottling. The nose offers sultanas, raisins, and hot chocolate. Developing vanilla and a hint of over-ripe bananas. Finally, burnt sugar and caramel. Insinuating and syrupy on the palate, with apricots, dried fruits, honey, and sherry. Gently spicy and warming, with licorice in the notably long finish. £115"
"Ardbeg, 1974 Vintage, Cask #3524, 49.9%","Cask #3524 is darker, with notes of sticky toffee pudding and chewy caramel that firmly support the polished leather, cigar box, roasted chestnut, smoked seaweed, tar, dark chocolate, and, on the finish, espresso. A meditative whisky. 
Price listed includes entire Double Barrel 1974 Vintage set."
"The Balvenie Vintage Cask, 1976 vintage, 53%","Very spicy and complex, with incredible depth. Once again, this 30-plus year old whisky proves the aging ability of Balvenie. Still quite vibrant and invigorating for such maturity. The classic Balvenie honey note is there, but more reserved, along with graham cracker, vanilla wafer, citrus peel, raspberry (red and black), nectarine, and polished oak. Long, spicy finish. Another outstanding Balvenie Vintage Cask. Although, I look at the price and remember how shocked I was when the Balvenie vintages were selling for $400.
"
"Balvenie Tun 1401 Batch No. 3, 50.3%","A combination of three sherry butts and seven bourbon casks. This is a complex, dynamic whisky, loaded with lush, layered ripe fruit (red berries, tropical fruit, honeyed apricot, raisin), toffee, oak resin, polished leather, and well-defined spice notes (cinnamon, vanilla, nutmeg, clove). Long, warming finish. (Exclusive to the U.S.) "
"Signatory (distilled at Bowmore), 35 year old, 1970 vintage, 51.9%","Lush, thick fruit and chewy toffee soothes the assertive notes of earthy peat and leafy bonfire. Underlying smoked nuts, brine, kalamata olives, and tobacco provide continued entertainment. A complex whisky that completely envelops the palate. This is an excellent example of a mature, sherried Bowmore. 
"
"White Bowmore, 1964 vintage, 43 year old, 42.8%","I like this Bowmore better than all the previous bourbon oak-aged, ultra-mature Bowmore whiskies that have been released over the past fifteen years (there have been several). The oak is always present, but not dominant. The whisky really evolves on the palate, just like the Black Bowmore releases. This emphasis here is on fruit, bright fruit: peach, tangerine, mango, ripe melon, and pineapple. There’s a soft, gentle side to the whisky, too, enhanced by sweeter notes of pancake syrup, orange creamsicle, and white chocolate. Heavy oak notes emerge, along with teasing, earthy smoke, to give the whisky depth and bottom notes. The smoke and oak linger long on the finish. Very contemplative. In short, an outstanding whisky, but not quite reaching the excellence of Black Bowmore. 
   (Allocation information: 732 bottles available worldwide; 40 bottles are being allocated for the U.S., half of the quantity of Black Bowmore which was released earlier this year.)
"
"Bowmore 1966 50 year old, 41.5%","The third and most exclusive release in Bowmore’s Vault Legends Collection was matured for 50 years in bourbon hogshead #5675. The nose is fragrant and musky, slightly oily, with orange peel, developing vanilla, and green citrus notes. Intense orange and peach on the palate, with black pepper, aniseed, and sweet oak. Very persistent tangy citrus fruits through the extremely long finish. No negative tannic notes. (74 bottles)"
